Name,Collection,Type,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Probiotic Treatment,diets,Type 2,[200643] Bacteroidia (-0.1875),[1678] Bifidobacterium (0.1729),[171552] Prevotellaceae (-0.1667),[84107] Coriobacteriaceae (0.1667),[201174] Actinomycetota (0.1667),[1578] Lactobacillus (0.1275),[1301] Streptococcus (0.0573),[1239] Bacillota (0.0346),[572511] Blautia (0.0319),[Probiotic] Lactiplantibacillus plantarum (0.0314),[1505652] Terrisporobacter (0.0314),[84111] Eggerthella (-0.0314),[207244] Anaerostipes (0.0314),[Probiotic] Bifidobacterium animalis subsp. lactis (0.0292),[1224] Pseudomonadota (0.0283),[838] Prevotella (0.0205),[1485] Clostridium (-0.0205),[841] Roseburia (0.0205),[459786] Oscillibacter (-0.0205),[438033] Ruminococcus gauvreauii (0.0205),[906] Megasphaera (0.0205),[40544] Sutterella (-0.0205),[447020] Adlercreutzia (0.0205),[165179] Segatella copri (-0.0179),[59823] Prevotella sp. (-0.0179),[Probiotic] Akkermansia muciniphila (0.0179),[Pathogen] Clostridioides difficile (-0.0179),[74201] Verrucomicrobiota (0.0179),[816] Bacteroides (-0.016),[186803] Lachnospiraceae (0.0114)
Nicotinic Acid Supplementation,diets,Type 2,[200643] Bacteroidia (0.0739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Lacticaseibacillus Paracasei_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High-Fructose Fruit Diet,diets,Type 2,[1239] Bacillota (0.0204),[216851] Faecalibacterium (0.0204),[3025755] Thomasclavelia (0.0204),[375288] Parabacteroides (-0.0204),[207244] Anaerostipes (0.0204),,,,,,,,,,,,,,,,,,,,,,,,,
Carboxymethylcellulose,diets,Type 2,[853] Faecalibacterium prausnitzii (-0.066),[186803] Lachnospiraceae (0.066),[2049040] Roseburia sp. (0.066),[41978] Ruminococcus sp. (-0.066),,,,,,,,,,,,,,,,,,,,,,,,,,
Peppermint Oil,diets,Type 2,[102106] Collinsella (-0.0102),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paleo Diet,diets,Type 2,[200643] Bacteroidia (0.1174),[157] Treponema (0.1174),[1678] Bifidobacterium (-0.1174),[838] Prevotella (0.1174),[1649459] Hungatella (0.0112),[283168] Odoribacter (-0.0063),[35832] Bilophila (-0.0063),[40544] Sutterella (-0.0063),,,,,,,,,,,,,,,,,,,,,,
Low-Fat/High-Fiber Diet,diets,Type 2,[838] Prevotella (0.114),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Propionibacterium Freudenreichii_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweeteners,diets,Type 2,[816] Bacteroides (-0.0077),[836] Porphyromonas (-0.0077),[838] Prevotella (-0.0077),,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Streptococcus Salivarius_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal-Based Diet,diets,Type 2,[35832] Bilophila (0.2289),[40518] Ruminococcus bromii (-0.2188),[816] Bacteroides (0.2188),[39491] Agathobacter rectalis (-0.2188),[239759] Alistipes (0.2188),[841] Roseburia (-0.2188),[28037] Streptococcus mitis (0.0206),[44749] Sporobacter termitidis (-0.0206),[1335] Streptococcus equinus (0.0206),[1965294] Collinsella sp. (0.0206),[33038] Mediterraneibacter gnavus (0.0206),[Probiotic] Akkermansia muciniphila (-0.0206),[283168] Odoribacter (0.01),[1263] Ruminococcus (0.01),[1678] Bifidobacterium (-0.01),[189330] Dorea (0.01),,,,,,,,,,,,,,
Probiotics Containing _Bifidobacterium Animalis_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curry,diets,Type 2,[1678] Bifidobacterium (0.0102),[816] Bacteroides (-0.0102),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gums,diets,Type 2,[1263] Ruminococcus (0.0409),[1678] Bifidobacterium (0.0205),[33024] Phascolarctobacterium (-0.0205),[906] Megasphaera (0.0205),[1407607] Fusicatenibacter (0.0204),[572511] Blautia (-0.0204),[216851] Faecalibacterium (0.0204),[841] Roseburia (-0.0204),[186803] Lachnospiraceae (-0.0204),[41200] Bifidobacterium sp. (0.0078),[1485] Clostridium (-0.0006),[816] Bacteroides (-0.0),[1769710] Sellimonas (0.0),[2039302] Monoglobus (-0.0),[189330] Dorea (-0.0),[577309] Paraprevotella (0.0),[872] Desulfovibrio (0.0),[200940] Thermodesulfobacteriota (0.0),[33039] [Ruminococcus] torques (-0.0),,,,,,,,,,,
Probiotics Containing Lactiplantibacillus Plantarum Lz227,diets,Type 2,[1239] Bacillota (0.01),[1578] Lactobacillus (0.01),[91061] Bacilli (0.01),[33958] Lactobacillaceae (0.01),[84111] Eggerthella (-0.01),[186826] Lactobacillales (0.01),,,,,,,,,,,,,,,,,,,,,,,,
Inulin-Rich Diet,diets,Type 2,[201174] Actinomycetota (0.1733),[186801] Clostridia (-0.1636),[186802] Eubacteriales (-0.1475),[1678] Bifidobacterium (0.0419),[574697] Butyricimonas (-0.0258),[1578] Lactobacillus (0.0258),[31953] Bifidobacteriaceae (0.0258),[841] Roseburia (-0.0258),[1680] Bifidobacterium adolescentis (0.0224),[Pathogen] Shigella (0.0224),[189330] Dorea (0.0224),[572511] Blautia (-0.0224),[649756] Anaerostipes hadrus (0.0224),[Probiotic] Bifidobacterium bifidum (0.0224),[433334] Erysipelotrichaceae incertae sedis (0.0224),[561] Escherichia (0.0224),[135858] Catenibacterium (0.0224),[Probiotic] Bifidobacterium longum (0.0224),[872] Desulfovibrio (-0.0224),[75682] Oxalobacteraceae (-0.0161),[200643] Bacteroidia (0.0047),[74201] Verrucomicrobiota (0.0047),[816] Bacteroides (0.0047),[239934] Akkermansia (0.0047),[39497] Eubacterium xylanophilum (-0.0034),[283168] Odoribacter (-0.0034),[39491] Agathobacter rectalis (-0.0034),[207244] Anaerostipes (0.0034),[171551] Porphyromonadaceae (-0.0034),[85004] Bifidobacteriales (0.0034)
Maize,diets,Type 2,[40518] Ruminococcus bromii (0.0242),[40519] Ruminococcus callidus (-0.0),[216572] Oscillospiraceae (0.0),[1628085] Agathobaculum butyriciproducens (-0.0),[41978] Ruminococcus sp. (0.0),[39491] Agathobacter rectalis (0.0),[446660] Adlercreutzia equolifaciens (-0.0),[1924094] Anaeromassilibacillus sp. (0.0),[1945593] Oscillibacter sp. (0.0),,,,,,,,,,,,,,,,,,,,,
Cholesterol,diets,Type 2,[1224] Pseudomonadota (0.1018),[1239] Bacillota (0.1018),[216572] Oscillospiraceae (0.0325),[1301] Streptococcus (0.0),[574697] Butyricimonas (-0.0),[119852] Oscillospira (-0.0),[100883] Coprobacillus (0.0),,,,,,,,,,,,,,,,,,,,,,,
Celery,diets,Type 2,[561] Escherichia (0.0036),[28050] Lachnospira (-0.0036),[397864] Barnesiella (-0.0036),[33042] Coprococcus (-0.0036),[577310] Parasutterella (-0.0036),[848] Fusobacterium (0.0036),[244127] Anaerotruncus (-0.0036),[1283313] Alloprevotella (-0.0036),[292632] Subdoligranulum (-0.0036),,,,,,,,,,,,,,,,,,,,,
Staples,diets,Type 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low-Calorie Diet,diets,Type 2,[Pathogen] Clostridioides difficile (0.219),[186801] Clostridia (0.0105),[201174] Actinomycetota (0.0105),[46205] Pseudobutyrivibrio (-0.0),[572511] Blautia (-0.0),[41200] Bifidobacterium sp. (-0.0),[239934] Akkermansia (0.0),,,,,,,,,,,,,,,,,,,,,,,
Vitamin B12 Supplementation,diets,Type 2,[216572] Oscillospiraceae (-0.0),[816] Bacteroides (-0.0),[469] Acinetobacter (0.0),[848] Fusobacterium (0.0),[543] Enterobacteriaceae (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,
